Sq_Location_ID,Address,City,State,,,***LOCATIONS RANDOMIZED DUE TO PRIVACY ACT***
1,367 Pine Hill Rd.,Albuquerque,NM,,,
2,742 Evergreen Terrace,Albuquerque,NM,,,
3,1588 Maple Avenue,Albuquerque,NM,,,
4,301 Oak Street,Albuquerque,NM,,,
5,784 Cherry Lane,Albuquerque,NM,,,
6,492 Spruce Drive,Albuquerque,NM,,,
7,607 Cedar Court,Albuquerque,NM,,,
8,909 Birch Boulevard,Albuquerque,NM,,,
9,213 Poplar Street,Albuquerque,NM,,,
10,725 Walnut Way,Albuquerque,NM,,,
11,846 Sycamore Road,Albuquerque,NM,,,
12,369 Aspen Lane,Albuquerque,NM,,,
13,582 Dogwood Drive,Albuquerque,NM,,,
14,930 Hickory Avenue,Albuquerque,NM,,,
15,442 Fir Street,Albuquerque,NM,,,
16,178 Willow Road,Albuquerque,NM,,,
17,605 Pine Cone Court,Albuquerque,NM,,,
18,710 Sequoia Street,Albuquerque,NM,,,
19,881 Juniper Drive,Albuquerque,NM,,,
20,153 Magnolia Boulevard,Albuquerque,NM,,,
21,426 Cypress Avenue,Albuquerque,NM,,,
22,697 Redwood Road,Albuquerque,NM,,,
23,521 Laurel Lane,Albuquerque,NM,,,
24,284 Hawthorn Street,Albuquerque,NM,,,
25,917 Beech Drive,Albuquerque,NM,,,
26,638 Alder Avenue,Albuquerque,NM,,,
27,1501 Elm Court,Albuquerque,NM,,,
28,849 Pine Needle Road,Albuquerque,NM,,,
29,372 Silver Maple Drive,Albuquerque,NM,,,
30,488 Ironwood Street,Albuquerque,NM,,,
31,765 Palm Court,Albuquerque,NM,,,
32,581 Eucalyptus Avenue,Albuquerque,NM,,,
33,319 Linden Road,Albuquerque,NM,,,
34,747 Mahogany Street,Albuquerque,NM,,,
35,614 Cedarwood Lane,Albuquerque,NM,,,
36,905 Olive Drive,Albuquerque,NM,,,
37,293 Buckeye Boulevard,Albuquerque,NM,,,
38,742 Plum Street,Albuquerque,NM,,,
39,1203 Mimosa Court,Albuquerque,NM,,,
40,467 Mulberry Lane,Albuquerque,NM,,,
41,334 Hazelnut Drive,Albuquerque,NM,,,
42,750 Sassafras Road,Albuquerque,NM,,,
43,508 Aspenwood Street,Albuquerque,NM,,,
44,922 Chestnut Avenue,Albuquerque,NM,,,
45,685 Pecan Court,Albuquerque,NM,,,
